,,,,,,,,,,,,,,,,
Presupuesto de Potencia,Distancia,Atenuación por km,Amplificación/Atenuación (dB),Potencia acumulada (dBm),400 Gbps,NF (dB),OSNR canal (dB),OSNR canal (veces),OSNR acumulada (dB),OSNR acumulada (veces),1/GSNR NL,GSNR NL (dB),GSNR NL (veces),GSNR NL acumulada (dB),GSNR NL acumulada (veces),GSNR Total (dB)
Benavidez,,,,,,,,,,,,,,,,
Transceiver,,,,1.00,400,,,,38.00,6309.57,,,,,,38.00
ROADM (Mux + VOA),,,-21.00,-20.00,,,,,38.00,6309.57,,,,,,38.00
Amplificador Booster (ROADM),,,18.00,-2.00,,5.50,32.45,1758.56,31.38,1375.26,,,,,,31.38
Fibra,45.00,0.2100,-9.95,-11.95,,,,,31.38,1375.26,2.73e-05,45.63,36597.20,45.63,36597.20,31.22
Preamplificador (ROADM),,,9.95,-2.00,,5.50,40.50,11224.26,30.88,1225.15,,,,45.63,36597.20,30.74
Exaltacion de la Cruz,,,,,,,,,,,,,,,,
ROADM (Pérdida Mux/Demux/Express),,,-18.00,-20.00,,,,,30.88,1225.15,,,,45.63,36597.20,30.74
Amplificador Booster (ROADM),,,18.00,-2.00,,5.50,32.45,1758.56,28.59,722.09,,,,45.63,36597.20,28.50
Fibra,48.00,0.2100,-10.58,-12.58,,,,,28.59,722.09,2.78e-05,45.55,35923.55,42.58,18128.62,28.42
Preamplificador (ROADM),,,10.58,-2.00,,5.50,39.87,9708.62,28.27,672.10,,,,42.58,18128.62,28.12
Arrecifes,,,,,,,,,,,,,,,,
ROADM (Pérdida Mux/Demux/Express),,,-18.00,-20.00,,,,,28.27,672.10,,,,42.58,18128.62,28.12
Amplificador Booster (ROADM),,,18.00,-2.00,,5.50,32.45,1758.56,26.87,486.26,,,,42.58,18128.62,26.75
Fibra,90.00,0.2111,-19.50,-21.50,,,,,26.87,486.26,3.05e-05,45.15,32749.03,40.67,11669.07,26.69
Preamplificador (ROADM),,,19.50,-2.00,,5.50,30.95,1244.97,25.44,349.68,,,,40.67,11669.07,25.31
Pergamino,,,,,,,,,,,,,,,,
ROADM (Pérdida Mux/Demux/Express),,,-18.00,-20.00,,,,,25.44,349.68,,,,40.67,11669.07,25.31
Amplificador Booster (ROADM),,,18.00,-2.00,,5.50,32.45,1758.56,24.65,291.68,,,,40.67,11669.07,24.54
Fibra,92.00,0.2111,-19.92,-21.92,,,,,24.65,291.68,3.06e-05,45.15,32703.33,39.35,8600.33,24.50
Preamplificador (ROADM),,,19.92,-2.00,,5.50,30.53,1130.21,23.65,231.85,,,,39.35,8600.33,23.54
Rosario,,,,,,,,,,,,,,,,
ROADM (Pérdida Mux/Demux/Express),,,-18.00,-20.00,,,,,23.65,231.85,,,,39.35,8600.33,23.54
Amplificador Booster (ROADM),,,18.00,-2.00,,5.50,32.45,1758.56,23.11,204.84,,,,39.35,8600.33,23.01
Fibra,90.00,0.2111,-19.50,-21.50,,,,,23.11,204.84,3.05e-05,45.15,32749.03,38.33,6811.53,22.99
