======================================================================
  REPORTE: ASIGNACIÓN DE DEMANDAS REFEFO CON MÉTODO ALEATORIO
======================================================================

Estado base: /home/maximo/opticas/TpOpticas/Pablo_punto5/base/aleatorio/ocupacion_base_random.csv
Demandas:    /home/maximo/opticas/TpOpticas/Pablo_punto5/refefo/demandas_refefo.csv
Semilla:     42

--- ESTADO BASE ---
  Enlaces:          236
  Slots ocupados:   7074 / 71744
  Ocupación:        9.86%
  S_max:            304

--- RESULTADOS REFEFO ---
  Tiempo de ejecución:            1.5383 segundos
  Demandas REFEFO totales:        200
  Demandas asignadas con éxito:   198
  Demandas bloqueadas:            2
  Probabilidad de bloqueo:        1.00%

--- ESTADO FINAL DE LA RED ---
  Enlaces:          451
  Slots ocupados:   21236 / 137104
  Ocupación:        15.49%
  S_max:            304

  Δ Slots ocupados: +14162
  Δ S_max:          304 → 304

--- DETALLE POR DEMANDA ---
 Iter | Source                    | Destination               |  Gbps | Resultado                           | K_Path
-------------------------------------------------------------------------------------------------------------------
    1 | Gobernador Gregores       | Santa Rosa (LP)           |   100 | ASIGNADA                            |      2
    2 | Cap Juan Page             | La Paz                    |   200 | ASIGNADA                            |      1
    3 | San Pedro Jujuy           | Puerto Madryn             |   400 | ASIGNADA [no-fact]                  |      1
    4 | Pehuajo                   | Bolivar                   |   400 | ASIGNADA                            |      1
    5 | Frias                     | V. Mercedes               |   100 | ASIGNADA                            |      1
    6 | Presidencia Roque Saenz Peña | Posadas                   |   100 | ASIGNADA                            |      1
    7 | Jaramillo                 | San Antonio de los Cobres |   300 | ASIGNADA [no-fact]                  |      1
    8 | Posadas                   | San Carlos de Bariloche   |   300 | ASIGNADA [no-fact]                  |      1
    9 | Winifreda                 | J. de San Martin          |   400 | ASIGNADA [no-fact]                  |      1
   10 | San Miguel de Tucuman     | Rio Colorado              |   300 | ASIGNADA [no-fact]                  |      1
   11 | El Calafate               | Esperanza (StaCruz)       |   200 | ASIGNADA                            |      1
   12 | Baradero                  | Catriel                   |   200 | ASIGNADA [no-fact]                  |      1
   13 | Cap Juan Page             | Salta                     |   200 | ASIGNADA                            |      1
   14 | Bahia Blanca              | La Plata                  |   200 | ASIGNADA [no-fact]                  |      1
   15 | Rio Gallegos              | Las Toninas               |   200 | ASIGNADA [no-fact]                  |      1
   16 | Manfredi                  | Chilecito                 |   100 | ASIGNADA                            |      1
   17 | San Nicolas de los Arroyos | Vera                      |   100 | ASIGNADA                            |      1
   18 | La Quiaca                 | General Roca              |   300 | ASIGNADA [no-fact]                  |      1
   19 | Rio Mayo                  | Corralito                 |   200 | ASIGNADA [no-fact]                  |      1
   20 | Winifreda                 | Serrezuela                |   200 | ASIGNADA [no-fact]                  |      1
   21 | Bolivar                   | Rio Grande                |   200 | ASIGNADA [no-fact]                  |      1
   22 | Leones                    | San Pedro BsAs            |   100 | ASIGNADA                            |      1
   23 | Puerto Madryn             | Aristobulo del Valle      |   100 | ASIGNADA                            |      2
   24 | Hernando                  | Buta Ranquil              |   400 | ASIGNADA [no-fact]                  |      1
   25 | General Roca              | Goya                      |   200 | ASIGNADA [no-fact]                  |      1
   26 | Rio Mayo                  | Campana                   |   300 | ASIGNADA [no-fact]                  |      1
   27 | San Antonio Oeste         | San Jose de Metan         |   100 | ASIGNADA                            |      2
   28 | Zapala                    | Ceres                     |   100 | ASIGNADA                            |      1
   29 | Picun Leufu               | Rio Gallegos              |   200 | ASIGNADA [no-fact]                  |      1
   30 | Tostado                   | Mercedes                  |   100 | ASIGNADA                            |      1
   31 | Aristobulo del Valle      | Clorinda                  |   200 | ASIGNADA                            |      1
   32 | Humahuaca                 | Puerto Iguazu             |   400 | ASIGNADA [no-fact]                  |      1
   33 | Santa Maria               | Las Toninas               |   100 | ASIGNADA                            |      1
   34 | Usuahia                   | San Pedro Jujuy           |   200 | ASIGNADA [no-fact]                  |      1
   35 | Perito Moreno             | Mercedes                  |   200 | ASIGNADA [no-fact]                  |      1
   36 | La Rioja                  | San Luis                  |   400 | ASIGNADA [no-fact]                  |      1
   37 | San Antonio de los Cobres | Choele Choel              |   400 | ASIGNADA [no-fact]                  |      1
   38 | Dean Funes                | Corralito                 |   200 | ASIGNADA                            |      1
   39 | Winifreda                 | San Jose de Jachal        |   100 | ASIGNADA                            |      1
   40 | Epuyen                    | Chascomus                 |   200 | ASIGNADA [no-fact]                  |      1
   41 | Vera                      | El Calafate               |   200 | ASIGNADA [no-fact]                  |      1
   42 | Rio Gallegos              | Vera                      |   200 | ASIGNADA [no-fact]                  |      1
