Iteración,Source,Destination,Gbps,K_Path,GSNR_Direct,Direct_Feasible,Reg_Feasible,Reg_Count,Path_Reg,Path_Sequence,Node_9 De Julio,Node_Abasto,Node_Aguada Cecilio,Node_Algarrobo,Node_Alto Rio Senguer,Node_Aristobulo del Valle,Node_Arrecifes,Node_Arroyito,Node_Arroyito (Nqn),Node_Azopardo,Node_Azul,Node_Añatuya,Node_Bahia Blanca,Node_Bajo Caracoles,Node_Baradero,Node_Belen,Node_Bellavista,Node_Benavidez,Node_Bolivar,Node_Bragado,Node_Buta Ranquil,Node_CABA,Node_Caleta Olivia,Node_Campana,Node_Cap Juan Page,Node_Catamarca,Node_Catriel,Node_Cañada De Gomez,Node_Cañuelas,Node_Ceres,Node_Chacabuco,Node_Chascomus,Node_Chilecito,Node_Chivilcoy,Node_Choele Choel,Node_Choromoro,Node_Chos Malal,Node_Chucul,Node_Clorinda,Node_Colonia Las Heras,Node_Comodoro Rivadavia,Node_Concepcion,Node_Concepcion del Uruguay,Node_Concordia,Node_Cordoba,Node_Corralito,Node_Corrientes,Node_Dean Funes,Node_Dina Huapi,Node_Dolores,Node_El Calafate,Node_El Condor,Node_El Foyel,Node_Embarcacion,Node_Epuyen,Node_Esperanza (StaCruz),Node_Esquel,Node_Estacion Cullen,Node_Exaltacion de la Cruz,Node_Formosa,Node_Frias,Node_General Conesa,Node_General Roca,Node_Gobernador Gregores,Node_Goya,Node_Gral. Alvear,Node_Hernando,Node_Humahuaca,Node_Ituzaingo,Node_J. de San Martin,Node_Jaramillo,Node_Jardin America,Node_Jesus Maria,Node_Junin,Node_Junin de los Andes,Node_La Falda,Node_La Paz,Node_La Plata,Node_La Quiaca,Node_La Rioja,Node_Las Armas,Node_Las Lomitas,Node_Las Toninas,Node_Leones,Node_Lib Gral San Martin,Node_Luis Piedrabuena,Node_Lujan,Node_Malargue,Node_Manfredi,Node_Mar Del Plata,Node_Marcos Paz,Node_Mendoza,Node_Mercedes,Node_Neuquen,Node_Olavarria,Node_Parana,Node_Paso de Los Libres,Node_Patquia,Node_Pehuajo,Node_Pergamino,Node_Perito Moreno,Node_Peru,Node_Pico Truncado,Node_Picun Leufu,Node_Piedra del Aguila,Node_Pinamar,Node_Posadas,Node_Presidencia Roque Saenz Peña,Node_Puerto Iguazu,Node_Puerto Madryn,Node_Puerto San Julian,Node_Rafaela,Node_Rawson,Node_Resistencia,Node_Rio Colorado,Node_Rio Gallegos,Node_Rio Grande,Node_Rio Mayo,Node_Rosario,Node_Rufino,Node_Salta,Node_Salvador Mazza,Node_San Antonio De Areco,Node_San Antonio Oeste,Node_San Antonio de los Cobres,Node_San Carlos de Bariloche,Node_San Fabian,Node_San Francisco,Node_San Jose,Node_San Jose de Jachal,Node_San Jose de Metan,Node_San Juan,Node_San Luis,Node_San Marcos,Node_San Martin de los Andes,Node_San Miguel de Tucuman,Node_San Nicolas de los Arroyos,Node_San Pedro BsAs,Node_San Pedro Jujuy,Node_San Rafael,Node_San Salvador de Jujuy,Node_San Sebastian,Node_Santa Fe,Node_Santa Isabel,Node_Santa Maria,Node_Santa Rosa (LP),Node_Santa Rosa (Mza),Node_Santiago del Estero,Node_Sargento Vidal,Node_Serrezuela,Node_Sierra Grande,Node_Sunchales,Node_Tandil,Node_Tecka,Node_Tolhuin,Node_Tostado,Node_Trelew,Node_Trenque Lauquen,Node_Tres Arroyos,Node_Tres lagos,Node_Tunuyan,Node_Usuahia,Node_V. Mercedes,Node_Vedia,Node_Vera,Node_Victorica,Node_Viedma,Node_Villa La Angostura,Node_Villa Maria,Node_Villa Media Agua,Node_Villa Tulumaya,Node_Winifreda,Node_Zapala,Node_Zarate
1,Gobernador Gregores,Santa Rosa (LP),100.0,1,9.314514707059011,False,False,2,Gobernador Gregores - Rio Colorado - Peru - Santa Rosa (LP),Gobernador Gregores - Bajo Caracoles - Perito Moreno - Colonia Las Heras - Pico Truncado - Caleta Olivia - Comodoro Rivadavia - Rawson - Trelew - Puerto Madryn - Sierra Grande - San Antonio Oeste - General Conesa - Rio Colorado - Peru - Santa Rosa (LP),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Gobernador Gregores,Santa Rosa (LP),100.0,2,10.460441898173276,False,True,1,Gobernador Gregores - Epuyen - Santa Rosa (LP),Gobernador Gregores - Tres lagos - El Calafate - Esperanza (StaCruz) - Rio Gallegos - Luis Piedrabuena - Puerto San Julian - Jaramillo - Caleta Olivia - Pico Truncado - Colonia Las Heras - Perito Moreno - Rio Mayo - Alto Rio Senguer - J. de San Martin - Tecka - Esquel - Epuyen - El Foyel - San Carlos de Bariloche - Dina Huapi - Piedra del Aguila - Picun Leufu - Arroyito (Nqn) - Neuquen - Sargento Vidal - Catriel - Santa Isabel - Victorica - Winifreda - Santa Rosa (LP),0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,Gobernador Gregores,Santa Rosa (LP),100.0,3,10.408094921555701,False,True,1,Gobernador Gregores - Viedma - Santa Rosa (LP),Gobernador Gregores - Bajo Caracoles - Perito Moreno - Rio Mayo - Alto Rio Senguer - J. de San Martin - Tecka - Esquel - Epuyen - El Foyel - San Carlos de Bariloche - Dina Huapi - Aguada Cecilio - San Antonio Oeste - Viedma - Bahia Blanca - Tres Arroyos - Mar Del Plata - Tandil - Azul - Olavarria - Bolivar - Pehuajo - Trenque Lauquen - Santa Rosa (LP),0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,Gobernador Gregores,Santa Rosa (LP),100.0,4,6.059158362334406,False,False,5,Gobernador Gregores - Villa La Angostura - Catriel - Choele Choel - Rio Colorado - Peru - Santa Rosa (LP),Gobernador Gregores - Bajo Caracoles - Perito Moreno - Colonia Las Heras - Pico Truncado - Caleta Olivia - Comodoro Rivadavia - Rawson - Trelew - Puerto Madryn - Sierra Grande - San Antonio Oeste - Aguada Cecilio - Dina Huapi - Villa La Angostura - San Martin de los Andes - Junin de los Andes - Zapala - Chos Malal - Buta Ranquil - Malargue - San Rafael - Gral. Alvear - Santa Isabel - Catriel - Sargento Vidal - Neuquen - General Roca - Choele Choel - Rio Colorado - Peru - Santa Rosa (LP),0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,Gobernador Gregores,Santa Rosa (LP),100.0,5,8.976508699860982,False,False,2,Gobernador Gregores - Rio Colorado - Peru - Santa Rosa (LP),Gobernador Gregores - Tres lagos - El Calafate - Esperanza (StaCruz) - Rio Gallegos - Luis Piedrabuena - Puerto San Julian - Jaramillo - Caleta Olivia - Comodoro Rivadavia - Rawson - Trelew - Puerto Madryn - Sierra Grande - San Antonio Oeste - General Conesa - Rio Colorado - Peru - Santa Rosa (LP),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Cap Juan Page,La Paz,200.0,1,17.807231062698513,False,True,2,Cap Juan Page - Formosa - Goya - La Paz,Cap Juan Page - Las Lomitas - Formosa - Resistencia - Corrientes - Bellavista - Goya - La Paz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Cap Juan Page,La Paz,200.0,2,13.619317858324372,False,False,5,Cap Juan Page - San Salvador de Jujuy - Choromoro - Santiago del Estero - Añatuya - Rafaela - La Paz,Cap Juan Page - Embarcacion - Lib Gral San Martin - San Pedro Jujuy - San Salvador de Jujuy - Salta - San Jose de Metan - Choromoro - San Miguel de Tucuman - Santiago del Estero - Añatuya - Tostado - Ceres - Sunchales - Rafaela - Santa Fe - Parana - La Paz,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Cap Juan Page,La Paz,200.0,3,10.736525865044387,False,False,10,Cap Juan Page - San Salvador de Jujuy - La Quiaca - San Antonio de los Cobres - Belen - Patquia - Cordoba - Leones - Rosario - Concordia - Parana - La Paz,Cap Juan Page - Embarcacion - Lib Gral San Martin - San Pedro Jujuy - San Salvador de Jujuy - Humahuaca - La Quiaca - San Antonio de los Cobres - Santa Maria - Belen - Chilecito - Patquia - Cordoba - Manfredi - Villa Maria - San Marcos - Leones - Cañada De Gomez - Rosario - Concepcion del Uruguay - Concordia - Parana - La Paz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,Cap Juan Page,La Paz,200.0,4,5.65994597337721,False,False,17,Cap Juan Page - Formosa - Vera - Añatuya - Santiago del Estero - Concepcion - La Rioja - Patquia - San Jose de Jachal - Mendoza - Gral. Alvear - Santa Isabel - Victorica - Pehuajo - Rufino - Lujan - Pergamino - San Fabian - La Paz,Cap Juan Page - Las Lomitas - Formosa - Resistencia - Vera - Tostado - Añatuya - Santiago del Estero - San Miguel de Tucuman - Concepcion - Catamarca - La Rioja - Patquia - San Jose de Jachal - San Juan - Villa Media Agua - Villa Tulumaya - Mendoza - Tunuyan - San Rafael - Gral. Alvear - Santa Isabel - Victorica - Winifreda - Santa Rosa (LP) - Trenque Lauquen - Pehuajo - Rufino - Lujan - Benavidez - San Antonio De Areco - Arrecifes - Pergamino - Rosario - San Fabian - Santa Fe - Parana - La Paz,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0
3,San Pedro Jujuy,Puerto Madryn,400.0,1,5.629096758006787,False,False,20,San Pedro Jujuy - Salta - San Jose de Metan - Concepcion - Catamarca - La Rioja - Patquia - San Jose de Jachal - San Juan - Villa Tulumaya - Tunuyan - San Rafael - Gral. Alvear - Santa Isabel - Victorica - Santa Rosa (LP) - Peru - Rio Colorado - General Conesa - San Antonio Oeste - Sierra Grande - Puerto Madryn,San Pedro Jujuy - San Salvador de Jujuy - Salta - San Jose de Metan - Choromoro - San Miguel de Tucuman - Concepcion - Catamarca - La Rioja - Patquia - San Jose de Jachal - San Juan - Villa Media Agua - Villa Tulumaya - Mendoza - Tunuyan - San Rafael - Gral. Alvear - Santa Isabel - Victorica - Winifreda - Santa Rosa (LP) - Peru - Rio Colorado - General Conesa - San Antonio Oeste - Sierra Grande - Puerto Madryn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0
