Nodo_Origen,Nodo_Destino,Slot_1,Slot_2,Slot_3,Slot_4,Slot_5,Slot_6,Slot_7,Slot_8,Slot_9,Slot_10,Slot_11,Slot_12,Slot_13,Slot_14,Slot_15,Slot_16,Slot_17,Slot_18,Slot_19,Slot_20,Slot_21,Slot_22,Slot_23,Slot_24,Slot_25,Slot_26,Slot_27,Slot_28,Slot_29,Slot_30,Slot_31,Slot_32,Slot_33,Slot_34,Slot_35,Slot_36,Slot_37,Slot_38,Slot_39,Slot_40,Slot_41,Slot_42,Slot_43,Slot_44,Slot_45,Slot_46,Slot_47,Slot_48,Slot_49,Slot_50,Slot_51,Slot_52,Slot_53,Slot_54,Slot_55,Slot_56,Slot_57,Slot_58,Slot_59,Slot_60,Slot_61,Slot_62,Slot_63,Slot_64,Slot_65,Slot_66,Slot_67,Slot_68,Slot_69,Slot_70,Slot_71,Slot_72,Slot_73,Slot_74,Slot_75,Slot_76,Slot_77,Slot_78,Slot_79,Slot_80,Slot_81,Slot_82,Slot_83,Slot_84,Slot_85,Slot_86,Slot_87,Slot_88,Slot_89,Slot_90,Slot_91,Slot_92,Slot_93,Slot_94,Slot_95,Slot_96,Slot_97,Slot_98,Slot_99,Slot_100,Slot_101,Slot_102,Slot_103,Slot_104,Slot_105,Slot_106,Slot_107,Slot_108,Slot_109,Slot_110,Slot_111,Slot_112,Slot_113,Slot_114,Slot_115,Slot_116,Slot_117,Slot_118,Slot_119,Slot_120,Slot_121,Slot_122,Slot_123,Slot_124,Slot_125,Slot_126,Slot_127,Slot_128,Slot_129,Slot_130,Slot_131,Slot_132,Slot_133,Slot_134,Slot_135,Slot_136,Slot_137,Slot_138,Slot_139,Slot_140,Slot_141,Slot_142,Slot_143,Slot_144,Slot_145,Slot_146,Slot_147,Slot_148,Slot_149,Slot_150,Slot_151,Slot_152,Slot_153,Slot_154,Slot_155,Slot_156,Slot_157,Slot_158,Slot_159,Slot_160,Slot_161,Slot_162,Slot_163,Slot_164,Slot_165,Slot_166,Slot_167,Slot_168,Slot_169,Slot_170,Slot_171,Slot_172,Slot_173,Slot_174,Slot_175,Slot_176,Slot_177,Slot_178,Slot_179,Slot_180,Slot_181,Slot_182,Slot_183,Slot_184,Slot_185,Slot_186,Slot_187,Slot_188,Slot_189,Slot_190,Slot_191,Slot_192,Slot_193,Slot_194,Slot_195,Slot_196,Slot_197,Slot_198,Slot_199,Slot_200,Slot_201,Slot_202,Slot_203,Slot_204,Slot_205,Slot_206,Slot_207,Slot_208,Slot_209,Slot_210,Slot_211,Slot_212,Slot_213,Slot_214,Slot_215,Slot_216,Slot_217,Slot_218,Slot_219,Slot_220,Slot_221,Slot_222,Slot_223,Slot_224,Slot_225,Slot_226,Slot_227,Slot_228,Slot_229,Slot_230,Slot_231,Slot_232,Slot_233,Slot_234,Slot_235,Slot_236,Slot_237,Slot_238,Slot_239,Slot_240,Slot_241,Slot_242,Slot_243,Slot_244,Slot_245,Slot_246,Slot_247,Slot_248,Slot_249,Slot_250,Slot_251,Slot_252,Slot_253,Slot_254,Slot_255,Slot_256,Slot_257,Slot_258,Slot_259,Slot_260,Slot_261,Slot_262,Slot_263,Slot_264,Slot_265,Slot_266,Slot_267,Slot_268,Slot_269,Slot_270,Slot_271,Slot_272,Slot_273,Slot_274,Slot_275,Slot_276,Slot_277,Slot_278,Slot_279,Slot_280,Slot_281,Slot_282,Slot_283,Slot_284,Slot_285,Slot_286,Slot_287,Slot_288,Slot_289,Slot_290,Slot_291,Slot_292,Slot_293,Slot_294,Slot_295,Slot_296,Slot_297,Slot_298,Slot_299,Slot_300,Slot_301,Slot_302,Slot_303,Slot_304
roadm 9 De Julio,roadm Pehuajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roadm 9 De Julio-roadm Abasto_200G_1,roadm 9 De Julio-roadm Abasto_200G_1,roadm 9 De Julio-roadm Abasto_200G_1,roadm 9 De Julio-roadm Abasto_200G_1,,,,,,,,,,,,,,,,,,,,,,roadm 9 De Julio-roadm Pehuajo_100G_3,roadm 9 De Julio-roadm Pehuajo_100G_3,roadm 9 De Julio-roadm Pehuajo_100G_3,roadm 9 De Julio-roadm Pehuajo_100G_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roadm 9 De Julio-roadm Pehuajo_100G_2,roadm 9 De Julio-roadm Pehuajo_100G_2,roadm 9 De Julio-roadm Pehuajo_100G_2,roadm 9 De Julio-roadm Pehuajo_100G_2,,,,,,,,,,,,,,,,,,,,,,roadm Bragado-roadm Abasto_200G_1,roadm Bragado-roadm Abasto_200G_1,roadm Bragado-roadm Abasto_200G_1,roadm Bragado-roadm Abasto_200G_1,,,,,,roadm Chivilcoy-roadm Abasto_200G_1,roadm Chivilcoy-roadm Abasto_200G_1,roadm Chivilcoy-roadm Abasto_200G_1,roadm Chivilcoy-roadm Abasto_200G_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roadm Mercedes-roadm Abasto_200G_1,roadm Mercedes-roadm Abasto_200G_1,roadm Mercedes-roadm Abasto_200G_1,roadm Mercedes-roadm Abasto_200G_1,,roadm 9 De Julio-roadm Pehuajo_100G_4,roadm 9 De Julio-roadm Pehuajo_100G_4,roadm 9 De Julio-roadm Pehuajo_100G_4,roadm 9 De Julio-roadm Pehuajo_100G_4,,,,,,,,,,,,,,,,,,,,roadm 9 De Julio-roadm Pehuajo_100G_1,roadm 9 De Julio-roadm Pehuajo_100G_1,roadm 9 De Julio-roadm Pehuajo_100G_1,roadm 9 De Julio-roadm Pehuajo_100G_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roadm Abasto,roadm Chascomus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roadm Abasto-roadm Dolores_200G_1,roadm Abasto-roadm Dolores_200G_1,roadm Abasto-roadm Dolores_200G_1,roadm Abasto-roadm Dolores_200G_1,,,roadm Abasto-roadm Chascomus_100G_3,roadm Abasto-roadm Chascomus_100G_3,roadm Abasto-roadm Chascomus_100G_3,roadm Abasto-roadm Chascomus_100G_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roadm Abasto-roadm Chascomus_200G_1,roadm Abasto-roadm Chascomus_200G_1,roadm Abasto-roadm Chascomus_200G_1,roadm Abasto-roadm Chascomus_200G_1,,,,,,,,,,,,,roadm Abasto-roadm Chascomus_100G_4,roadm Abasto-roadm Chascomus_100G_4,roadm Abasto-roadm Chascomus_100G_4,roadm Abasto-roadm Chascomus_100G_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roadm Abasto-roadm Las Armas_200G_1,roadm Abasto-roadm Las Armas_200G_1,roadm Abasto-roadm Las Armas_200G_1,roadm Abasto-roadm Las Armas_200G_1,,,,roadm Abasto-roadm Chascomus_100G_2,roadm Abasto-roadm Chascomus_100G_2,roadm Abasto-roadm Chascomus_100G_2,roadm Abasto-roadm Chascomus_100G_2,,,,,,,,,,,,,,,,,,,,,,,roadm Abasto-roadm Chascomus_100G_1,roadm Abasto-roadm Chascomus_100G_1,roadm Abasto-roadm Chascomus_100G_1,roadm Abasto-roadm Chascomus_100G_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roadm Abasto,roadm Las Toninas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roadm Abasto-roadm Las Toninas_100G_1,roadm Abasto-roadm Las Toninas_100G_1,roadm Abasto-roadm Las Toninas_100G_1,roadm Abasto-roadm Las Toninas_100G_1,,,,,,,,,,,,,,,,,,,roadm Abasto-roadm Las Toninas_100G_2,roadm Abasto-roadm Las Toninas_100G_2,roadm Abasto-roadm Las Toninas_100G_2,roadm Abasto-roadm Las Toninas_100G_2,,,,,,,,,,,,,,,,,,,,,,,roadm Abasto-roadm Las Toninas_100G_4,roadm Abasto-roadm Las Toninas_100G_4,roadm Abasto-roadm Las Toninas_100G_4,roadm Abasto-roadm Las Toninas_100G_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roadm Abasto-roadm Mar Del Plata_200G_1,roadm Abasto-roadm Mar Del Plata_200G_1,roadm Abasto-roadm Mar Del Plata_200G_1,roadm Abasto-roadm Mar Del Plata_200G_1,,,,,roadm Abasto-roadm Las Toninas_200G_1,roadm Abasto-roadm Las Toninas_200G_1,roadm Abasto-roadm Las Toninas_200G_1,roadm Abasto-roadm Las Toninas_200G_1,,,,,,,,,,,,,roadm Abasto-roadm Tres Arroyos_200G_1,roadm Abasto-roadm Tres Arroyos_200G_1,roadm Abasto-roadm Tres Arroyos_200G_1,roadm Abasto-roadm Tres Arroyos_200G_1,,,,,,,,,,,,,,,,,,,,roadm Abasto-roadm Pinamar_200G_1,roadm Abasto-roadm Pinamar_200G_1,roadm Abasto-roadm Pinamar_200G_1,roadm Abasto-roadm Pinamar_200G_1,,,,,,,,,,,,,,,,,,,,,,roadm Abasto-roadm Las Toninas_100G_3,roadm Abasto-roadm Las Toninas_100G_3,roadm Abasto-roadm Las Toninas_100G_3,roadm Abasto-roadm Las Toninas_100G_3,,,,,,,,,,
roadm Abasto,roadm Marcos Paz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roadm Abasto-roadm Marcos Paz_300G_1,roadm Abasto-roadm Marcos Paz_300G_1,roadm Abasto-roadm Marcos Paz_300G_1,roadm Abasto-roadm Marcos Paz_300G_1,roadm Abasto-roadm Marcos Paz_300G_1,roadm Abasto-roadm Marcos Paz_300G_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roadm Aguada Cecilio,roadm San Antonio Oeste,,,,,,,,,,roadm Piedra del Aguila-roadm Bahia Blanca_200G_1,roadm Piedra del Aguila-roadm Bahia Blanca_200G_1,roadm Piedra del Aguila-roadm Bahia Blanca_200G_1,roadm Piedra del Aguila-roadm Bahia Blanca_200G_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roadm Aguada Cecilio-roadm San Antonio Oeste_100G_3,roadm Aguada Cecilio-roadm San Antonio Oeste_100G_3,roadm Aguada Cecilio-roadm San Antonio Oeste_100G_3,roadm Aguada Cecilio-roadm San Antonio Oeste_100G_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roadm Aguada Cecilio-roadm San Antonio Oeste_100G_2,roadm Aguada Cecilio-roadm San Antonio Oeste_100G_2,roadm Aguada Cecilio-roadm San Antonio Oeste_100G_2,roadm Aguada Cecilio-roadm San Antonio Oeste_100G_2,,,,,,,,,,,,,,,,,,,,,,,,,roadm Aguada Cecilio-roadm San Antonio Oeste_100G_4,roadm Aguada Cecilio-roadm San Antonio Oeste_100G_4,roadm Aguada Cecilio-roadm San Antonio Oeste_100G_4,roadm Aguada Cecilio-roadm San Antonio Oeste_100G_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roadm Aguada Cecilio-roadm San Antonio Oeste_200G_1,roadm Aguada Cecilio-roadm San Antonio Oeste_200G_1,roadm Aguada Cecilio-roadm San Antonio Oeste_200G_1,roadm Aguada Cecilio-roadm San Antonio Oeste_200G_1,,,,,,,,,,,,,,,,,,,,,,,,,,roadm Aguada Cecilio-roadm San Antonio Oeste_100G_1,roadm Aguada Cecilio-roadm San Antonio Oeste_100G_1,roadm Aguada Cecilio-roadm San Antonio Oeste_100G_1,roadm Aguada Cecilio-roadm San Antonio Oeste_100G_1,,,,,,,,
roadm Algarrobo,roadm Rio Colorado,,,,,,,,,,,,,,roadm Bahia Blanca-roadm Santa Rosa (LP)_200G_1,roadm Bahia Blanca-roadm Santa Rosa (LP)_200G_1,roadm Bahia Blanca-roadm Santa Rosa (LP)_200G_1,roadm Bahia Blanca-roadm Santa Rosa (LP)_200G_1,,,,roadm Algarrobo-roadm Mendoza_200G_1,roadm Algarrobo-roadm Mendoza_200G_1,roadm Algarrobo-roadm Mendoza_200G_1,roadm Algarrobo-roadm Mendoza_200G_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roadm Bahia Blanca-roadm Peru_200G_1,roadm Bahia Blanca-roadm Peru_200G_1,roadm Bahia Blanca-roadm Peru_200G_1,roadm Bahia Blanca-roadm Peru_200G_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roadm Algarrobo-roadm Rio Colorado_100G_2,roadm Algarrobo-roadm Rio Colorado_100G_2,roadm Algarrobo-roadm Rio Colorado_100G_2,roadm Algarrobo-roadm Rio Colorado_100G_2,,,,,,,roadm Algarrobo-roadm Rio Colorado_100G_3,roadm Algarrobo-roadm Rio Colorado_100G_3,roadm Algarrobo-roadm Rio Colorado_100G_3,roadm Algarrobo-roadm Rio Colorado_100G_3,,,,roadm Bahia Blanca-roadm Victorica_200G_1,roadm Bahia Blanca-roadm Victorica_200G_1,roadm Bahia Blanca-roadm Victorica_200G_1,roadm Bahia Blanca-roadm Victorica_200G_1,,,,,,,,,,,,,,,,,,,,roadm Algarrobo-roadm Rio Colorado_100G_1,roadm Algarrobo-roadm Rio Colorado_100G_1,roadm Algarrobo-roadm Rio Colorado_100G_1,roadm Algarrobo-roadm Rio Colorado_100G_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roadm Bahia Blanca-roadm Santa Isabel_200G_1,roadm Bahia Blanca-roadm Santa Isabel_200G_1,roadm Bahia Blanca-roadm Santa Isabel_200G_1,roadm Bahia Blanca-roadm Santa Isabel_200G_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roadm Algarrobo-roadm Rio Colorado_100G_4,roadm Algarrobo-roadm Rio Colorado_100G_4,roadm Algarrobo-roadm Rio Colorado_100G_4,roadm Algarrobo-roadm Rio Colorado_100G_4,,,,,,,,,,,,,,roadm Bahia Blanca-roadm Rio Colorado_200G_1,roadm Bahia Blanca-roadm Rio Colorado_200G_1,roadm Bahia Blanca-roadm Rio Colorado_200G_1,roadm Bahia Blanca-roadm Rio Colorado_200G_1,,,,,,,,,,,roadm Bahia Blanca-roadm Winifreda_200G_1,roadm Bahia Blanca-roadm Winifreda_200G_1,roadm Bahia Blanca-roadm Winifreda_200G_1,roadm Bahia Blanca-roadm Winifreda_200G_1,,,,,,,,,,,,,,,,,,,
roadm Alto Rio Senguer,roadm Rio Mayo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roadm Alto Rio Senguer-roadm Rio Mayo_100G_1,roadm Alto Rio Senguer-roadm Rio Mayo_100G_1,roadm Alto Rio Senguer-roadm Rio Mayo_100G_1,roadm Alto Rio Senguer-roadm Rio Mayo_100G_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roadm Alto Rio Senguer-roadm Rio Mayo_100G_3,roadm Alto Rio Senguer-roadm Rio Mayo_100G_3,roadm Alto Rio Senguer-roadm Rio Mayo_100G_3,roadm Alto Rio Senguer-roadm Rio Mayo_100G_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roadm Alto Rio Senguer-roadm Rio Mayo_100G_2,roadm Alto Rio Senguer-roadm Rio Mayo_100G_2,roadm Alto Rio Senguer-roadm Rio Mayo_100G_2,roadm Alto Rio Senguer-roadm Rio Mayo_100G_2,,,,,,,,,,,,,,,roadm Alto Rio Senguer-roadm Rio Mayo_100G_4,roadm Alto Rio Senguer-roadm Rio Mayo_100G_4,roadm Alto Rio Senguer-roadm Rio Mayo_100G_4,roadm Alto Rio Senguer-roadm Rio Mayo_100G_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roadm Alto Rio Senguer-roadm Rio Mayo_200G_1,roadm Alto Rio Senguer-roadm Rio Mayo_200G_1,roadm Alto Rio Senguer-roadm Rio Mayo_200G_1,roadm Alto Rio Senguer-roadm Rio Mayo_200G_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roadm Aristobulo del Valle,roadm Puerto Iguazu,,,,,,,,,,,,,roadm Aristobulo del Valle-roadm Puerto Iguazu_100G_3,roadm Aristobulo del Valle-roadm Puerto Iguazu_100G_3,roadm Aristobulo del Valle-roadm Puerto Iguazu_100G_3,roadm Aristobulo del Valle-roadm Puerto Iguazu_100G_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roadm Aristobulo del Valle-roadm Puerto Iguazu_100G_4,roadm Aristobulo del Valle-roadm Puerto Iguazu_100G_4,roadm Aristobulo del Valle-roadm Puerto Iguazu_100G_4,roadm Aristobulo del Valle-roadm Puerto Iguazu_100G_4,,,,,,,,roadm Aristobulo del Valle-roadm Puerto Iguazu_100G_1,roadm Aristobulo del Valle-roadm Puerto Iguazu_100G_1,roadm Aristobulo del Valle-roadm Puerto Iguazu_100G_1,roadm Aristobulo del Valle-roadm Puerto Iguazu_100G_1,,roadm Aristobulo del Valle-roadm Puerto Iguazu_100G_2,roadm Aristobulo del Valle-roadm Puerto Iguazu_100G_2,roadm Aristobulo del Valle-roadm Puerto Iguazu_100G_2,roadm Aristobulo del Valle-roadm Puerto Iguazu_100G_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roadm Aristobulo del valle,roadm Puerto Iguazu,,,,,,,,,,,,,,,,,,,,roadm Posadas-roadm Puerto Iguazu_200G_1,roadm Posadas-roadm Puerto Iguazu_200G_1,roadm Posadas-roadm Puerto Iguazu_200G_1,roadm Posadas-roadm Puerto Iguazu_200G_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roadm Aristobulo del Valle-roadm Puerto Iguazu_200G_1,roadm Aristobulo del Valle-roadm Puerto Iguazu_200G_1,roadm Aristobulo del Valle-roadm Puerto Iguazu_200G_1,roadm Aristobulo del Valle-roadm Puerto Iguazu_200G_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roadm Arrecifes,roadm Pergamino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roadm Benavidez-roadm Rosario_300G_1,roadm Benavidez-roadm Rosario_300G_1,roadm Benavidez-roadm Rosario_300G_1,roadm Benavidez-roadm Rosario_300G_1,roadm Benavidez-roadm Rosario_300G_1,roadm Benavidez-roadm Rosario_300G_1,,,roadm Arrecifes-roadm Pergamino_100G_1,roadm Arrecifes-roadm Pergamino_100G_1,roadm Arrecifes-roadm Pergamino_100G_1,roadm Arrecifes-roadm Pergamino_100G_1,,,,,,,,,,,,roadm Benavidez-roadm Cordoba_300G_3,roadm Benavidez-roadm Cordoba_300G_3,roadm Benavidez-roadm Cordoba_300G_3,roadm Benavidez-roadm Cordoba_300G_3,roadm Benavidez-roadm Cordoba_300G_3,roadm Benavidez-roadm Cordoba_300G_3,,,,,,roadm Benavidez-roadm Rosario_300G_2,roadm Benavidez-roadm Rosario_300G_2,roadm Benavidez-roadm Rosario_300G_2,roadm Benavidez-roadm Rosario_300G_2,roadm Benavidez-roadm Rosario_300G_2,roadm Benavidez-roadm Rosario_300G_2,,,roadm San Antonio de Areco-roadm Rosario_200G_1,roadm San Antonio de Areco-roadm Rosario_200G_1,roadm San Antonio de Areco-roadm Rosario_200G_1,roadm San Antonio de Areco-roadm Rosario_200G_1,,,,,,,,,,,,,,,,,,,,,,,,,,,roadm Benavidez-roadm Mendoza_300G_2,roadm Benavidez-roadm Mendoza_300G_2,roadm Benavidez-roadm Mendoza_300G_2,roadm Benavidez-roadm Mendoza_300G_2,roadm Benavidez-roadm Mendoza_300G_2,roadm Benavidez-roadm Mendoza_300G_2,,,,,,,,,,,,,,,,,,,,,,,,,roadm Arrecifes-roadm Pergamino_100G_4,roadm Arrecifes-roadm Pergamino_100G_4,roadm Arrecifes-roadm Pergamino_100G_4,roadm Arrecifes-roadm Pergamino_100G_4,,,,,,,,,,,,,,,roadm Arrecifes-roadm Pergamino_100G_2,roadm Arrecifes-roadm Pergamino_100G_2,roadm Arrecifes-roadm Pergamino_100G_2,roadm Arrecifes-roadm Pergamino_100G_2,,,,,,,,,,,,,,,,,roadm Benavidez-roadm Cordoba_300G_1,roadm Benavidez-roadm Cordoba_300G_1,roadm Benavidez-roadm Cordoba_300G_1,roadm Benavidez-roadm Cordoba_300G_1,roadm Benavidez-roadm Cordoba_300G_1,roadm Benavidez-roadm Cordoba_300G_1,roadm Arrecifes-roadm Pergamino_300G_1,roadm Arrecifes-roadm Pergamino_300G_1,roadm Arrecifes-roadm Pergamino_300G_1,roadm Arrecifes-roadm Pergamino_300G_1,roadm Arrecifes-roadm Pergamino_300G_1,roadm Arrecifes-roadm Pergamino_300G_1,,,,,,,,,,,,,,,,,,,,,,,,,,roadm Benavidez-roadm Rosario_300G_3,roadm Benavidez-roadm Rosario_300G_3,roadm Benavidez-roadm Rosario_300G_3,roadm Benavidez-roadm Rosario_300G_3,roadm Benavidez-roadm Rosario_300G_3,roadm Benavidez-roadm Rosario_300G_3,,,,,,,,,,,roadm Arrecifes-roadm Rosario_200G_1,roadm Arrecifes-roadm Rosario_200G_1,roadm Arrecifes-roadm Rosario_200G_1,roadm Arrecifes-roadm Rosario_200G_1,,,,roadm Benavidez-roadm Cordoba_300G_2,roadm Benavidez-roadm Cordoba_300G_2,roadm Benavidez-roadm Cordoba_300G_2,roadm Benavidez-roadm Cordoba_300G_2,roadm Benavidez-roadm Cordoba_300G_2,roadm Benavidez-roadm Cordoba_300G_2,,,,,,,,roadm Benavidez-roadm Pergamino_200G_1,roadm Benavidez-roadm Pergamino_200G_1,roadm Benavidez-roadm Pergamino_200G_1,roadm Benavidez-roadm Pergamino_200G_1,,,,,,,,,,,,,roadm Arrecifes-roadm Pergamino_100G_3,roadm Arrecifes-roadm Pergamino_100G_3,roadm Arrecifes-roadm Pergamino_100G_3,roadm Arrecifes-roadm Pergamino_100G_3,,,,,,,,,roadm Benavidez-roadm Mendoza_300G_1,roadm Benavidez-roadm Mendoza_300G_1,roadm Benavidez-roadm Mendoza_300G_1,roadm Benavidez-roadm Mendoza_300G_1,roadm Benavidez-roadm Mendoza_300G_1,roadm Benavidez-roadm Mendoza_300G_1,,,,,,,,,roadm Benavidez-roadm Mendoza_400G_1,roadm Benavidez-roadm Mendoza_400G_1,roadm Benavidez-roadm Mendoza_400G_1,roadm Benavidez-roadm Mendoza_400G_1,roadm Benavidez-roadm Mendoza_400G_1,roadm Benavidez-roadm Mendoza_400G_1,,,,,,,
