================================================================================
  REPORTE DETALLADO DE MÉTRICAS DE CALIDAD - TRÁFICO BASE ALEATORIO (V3)
================================================================================

--- RESUMEN GLOBAL DE LA RED ---
Total Demandas Procesadas: 1077
Exitosas:                  1075
Bloqueadas:                2
Prob. Bloqueo Global:      0.1857%

--- MÉTRIAS DE TIEMPO POR DEMANDA INDIVIDUAL ---
Mínimo:                    0.6504 ms
Máximo:                    14.5648 ms
Promedio:                  1.2575 ms

--- ESTRUCTURA DE ESPECTRO GLOBAL ---
Ocupación Promedio:        36.08 slots (11.87%)
Carga Mínima de Enlace:    4 slots
Carga Máxima de Enlace:    88 slots
Variación de Carga (Max-Min): 84 slots
Fragmentación Promedio:    0.656114
Contigüidad Promedio:      0.232290
Bloque Libre Máx. Promedio: 94.11 slots
Transiciones Ocupado-Libre (min/max/prom): 1 / 19 / 8.3103
Prob. Bloqueo Promedio Enlace: 1.1072%

--- MÉTRIAS ENLACE POR ENLACE ---
Enlace (Origen -> Destino)                                   | Ocupados | Libres   | Frag (F) | Contig (C) | Trans O->L | Solics  | Bloqs  | P_block%
----------------------------------------------------------------------------------------------------------------------------------------------------
9 De Julio -> Bragado                                        |       32 |      272 |   0.5919 |     0.2374 |          8 |       8 |      0 |    0.00%
9 De Julio -> Pehuajo                                        |       32 |      272 |   0.5882 |     0.2654 |          8 |       8 |      0 |    0.00%
Abasto -> Cañuelas                                           |       20 |      284 |   0.4472 |     0.3598 |          5 |       5 |      0 |    0.00%
Abasto -> Chascomus                                          |       52 |      252 |   0.8254 |     0.1130 |         11 |      13 |      0 |    0.00%
Abasto -> La Plata                                           |       24 |      280 |   0.4214 |     0.3846 |          6 |       6 |      0 |    0.00%
Abasto -> Las Toninas                                        |       48 |      256 |   0.8477 |     0.1016 |         12 |      12 |      0 |    0.00%
Abasto -> Marcos Paz                                         |        6 |      298 |   0.0034 |     0.9933 |          1 |       1 |      0 |    0.00%
Aguada Cecilio -> Dina Huapi                                 |       24 |      280 |   0.6357 |     0.2255 |          6 |       6 |      0 |    0.00%
Aguada Cecilio -> San Antonio Oeste                          |       24 |      280 |   0.5036 |     0.3339 |          6 |       6 |      0 |    0.00%
Algarrobo -> Bahia Blanca                                    |       60 |      244 |   0.7090 |     0.1456 |         14 |      15 |      0 |    0.00%
Algarrobo -> Rio Colorado                                    |       48 |      256 |   0.7227 |     0.1643 |         11 |      12 |      0 |    0.00%
Alto Rio Senguer -> J. de San Martin                         |       20 |      284 |   0.6655 |     0.2140 |          5 |       5 |      0 |    0.00%
Alto Rio Senguer -> Rio Mayo                                 |       20 |      284 |   0.5915 |     0.2991 |          4 |       5 |      0 |    0.00%
Aristobulo del Valle -> Puerto Iguazu                        |       24 |      280 |   0.6929 |     0.2346 |          6 |       6 |      0 |    0.00%
Aristobulo del Valle -> San Jose                             |       24 |      280 |   0.7000 |     0.1989 |          6 |       6 |      0 |    0.00%
