ID_Demanda,Origen,Destino,Cantidad de Enlaces,Velocidad [Gbps],Ruta
D1,Mendoza,San Juan,1,200,Mendoza - San Juan
D2,Mendoza,San Jose de Jachal,1,200,Mendoza - San Juan - San Jose de Jachal
D3,Mendoza,Patquia,1,200,Mendoza - San Juan - San Jose de Jachal - Patquia
D4,Mendoza,Chilecito,1,200,Mendoza - San Juan - San Jose de Jachal - Patquia - Chilecito
D5,Mendoza,Belen,1,200,Mendoza - San Juan - San Jose de Jachal - Patquia - Chilecito - Belen
D6,Mendoza,Santa Maria,1,200,Mendoza - San Juan - San Jose de Jachal - Patquia - Chilecito - Belen - Santa Maria
D7,San Jose de Jachal,San Miguel de Tucumán,1,200,San Jose de Jachal - Patquia - Chilecito - Belen - Santa Maria - San Miguel de Tucuman
D8,Patquia,San Miguel de Tucumán,1,200,Patquia - Chilecito - Belen - Santa Maria - San Miguel de Tucuman
D9,Chilecito,San Miguel de Tucumán,1,200,Chilecito - Belen - Santa Maria - San Miguel de Tucuman
D10,Belen,San Miguel de Tucumán,1,200,Belen - Santa Maria - San Miguel de Tucuman
D11,Santa Maria,San Miguel de Tucumán,1,200,Santa Maria - San Miguel de Tucuman
D12,San Juan,San Jose de Jachal,4,100,San Juan - San Jose de Jachal
D13,San Jose de Jachal,Patquia,4,100,San Jose de Jachal - Patquia
D14,Patquia,Chilecito,4,100,Patquia - Chilecito
D15,Chilecito,Belen,4,100,Chilecito - Belen
D16,Belen,Santa Maria,4,100,Belen - Santa Maria
D17,Santa Maria,San Miguel de Tucumán,4,100,Santa Maria - San Miguel de Tucuman
D18,Mendoza,Villa Tulumaya,1,200,Mendoza - Villa Tulumaya
D19,Mendoza,Media Agua,1,200,Mendoza - Villa Tulumaya - Media Agua
D20,Mendoza,San Juan,1,200,Mendoza - Villa Tulumaya - Media Agua - San Juan
D21,Mendoza,Serrezuela,1,200,Mendoza - Villa Tulumaya - Media Agua - San Juan - Serrezuela
D22,Mendoza,La Falda,1,200,Mendoza - Villa Tulumaya - Media Agua - San Juan - Serrezuela - La Falda
D23,Villa Tulumaya,Cordoba,1,200,Villa Tulumaya - Media Agua - San Juan - Serrezuela - La Falda - Cordoba
D24,Media Agua,Cordoba,1,200,Media Agua - San Juan - Serrezuela - La Falda - Cordoba
D25,San Juan,Cordoba,1,200,San Juan - Serrezuela - La Falda - Cordoba
D26,Serrezuela,Cordoba,1,200,Serrezuela - La Falda - Cordoba
D27,La Falda,Cordoba,1,200,La Falda - Cordoba
