================================================================================
  REPORTE DETALLADO DE MÉTRICAS DE CALIDAD - TRÁFICO BASE (FIRST-FIT V3)
================================================================================

--- MÉTODOLOGÍA ---
Tiempos por Demanda: Medidos por cada instancia individual (incluye tiempo de ruteo BFS y tiempo de asignación First-Fit).
Fragmentación de Espectro (F): F = 1 - (Max_Bloque_Libre / Slots_Libres). F = 0 indica grilla compacta; F = 1 indica totalmente fragmentado.
Contigüidad del Espectro (C): C = Sum(s_i^2) / S_libres^2. C = 1 indica contigüidad perfecta (un solo bloque libre).
Variación de la Carga: Diferencia entre el enlace con más slots ocupados y el enlace con menos slots ocupados.
Probabilidad de Bloqueo por Enlace: Bloqueos experimentados en el enlace / Total solicitudes de paso por el enlace.

--- RESUMEN GLOBAL DE LA RED ---
Total Demandas Procesadas: 1077
Exitosas:                  1077
Bloqueadas:                0
Prob. Bloqueo Global:      0.0000%

--- MÉTRIAS DE TIEMPO POR DEMANDA INDIVIDUAL ---
Mínimo:                    0.2924 ms
Máximo:                    12.1968 ms
Promedio:                  0.6446 ms

--- ESTRUCTURA DE ESPECTRO GLOBAL ---
Ocupación Promedio:        37.08 slots (12.20%)
Carga Mínima de Enlace:    4 slots
Carga Máxima de Enlace:    96 slots
Variación de Carga (Max-Min): 92 slots
Fragmentación Promedio:    0.021063
Contigüidad Promedio:      0.961376
Bloque Libre Máx. Promedio: 261.47 slots
Transiciones Ocupado-Libre (min/max/prom): 1 / 5 / 1.4433
Prob. Bloqueo Promedio Enlace: 0.0000%

--- MÉTRIAS ENLACE POR ENLACE ---
Enlace (Origen -> Destino)                                   | Ocupados | Libres   | Frag (F) | Contig (C) | Trans O->L | Solics  | Bloqs  | P_block%
----------------------------------------------------------------------------------------------------------------------------------------------------
9 De Julio -> Bragado                                        |       32 |      272 |   0.1176 |     0.7924 |          2 |       8 |      0 |    0.00%
9 De Julio -> Pehuajo                                        |       32 |      272 |   0.1324 |     0.7703 |          2 |       8 |      0 |    0.00%
Abasto -> Cañuelas                                           |       20 |      284 |   0.0000 |     1.0000 |          1 |       5 |      0 |    0.00%
Abasto -> Chascomus                                          |       52 |      252 |   0.0000 |     1.0000 |          1 |      13 |      0 |    0.00%
Abasto -> La Plata                                           |       24 |      280 |   0.0000 |     1.0000 |          1 |       6 |      0 |    0.00%
Abasto -> Las Toninas                                        |       48 |      256 |   0.0781 |     0.8560 |          2 |      12 |      0 |    0.00%
Abasto -> Marcos Paz                                         |        6 |      298 |   0.0000 |     1.0000 |          1 |       1 |      0 |    0.00%
Aguada Cecilio -> Dina Huapi                                 |       24 |      280 |   0.0286 |     0.9445 |          2 |       6 |      0 |    0.00%
Aguada Cecilio -> San Antonio Oeste                          |       24 |      280 |   0.0286 |     0.9445 |          2 |       6 |      0 |    0.00%
Algarrobo -> Bahia Blanca                                    |       60 |      244 |   0.0000 |     1.0000 |          1 |      15 |      0 |    0.00%
Algarrobo -> Rio Colorado                                    |       48 |      256 |   0.0469 |     0.9106 |          2 |      12 |      0 |    0.00%
Alto Rio Senguer -> J. de San Martin                         |       20 |      284 |   0.0000 |     1.0000 |          1 |       5 |      0 |    0.00%
Alto Rio Senguer -> Rio Mayo                                 |       20 |      284 |   0.0000 |     1.0000 |          1 |       5 |      0 |    0.00%
Aristobulo del Valle -> Puerto Iguazu                        |       24 |      280 |   0.0143 |     0.9718 |          2 |       6 |      0 |    0.00%
Aristobulo del Valle -> San Jose                             |       24 |      280 |   0.0143 |     0.9718 |          2 |       6 |      0 |    0.00%
Arrecifes -> Exaltacion de la Cruz                           |       60 |      244 |   0.1475 |     0.7405 |          4 |      10 |      0 |    0.00%
Arrecifes -> Pergamino                                       |       88 |      216 |   0.0370 |     0.9282 |          3 |      17 |      0 |    0.00%
Arrecifes -> San Antonio De Areco                            |       28 |      276 |   0.0000 |     1.0000 |          1 |       7 |      0 |    0.00%
Arroyito -> Cordoba                                          |       28 |      276 |   0.0290 |     0.9437 |          2 |       7 |      0 |    0.00%
Arroyito -> San Francisco                                    |       28 |      276 |   0.0290 |     0.9433 |          3 |       7 |      0 |    0.00%
Arroyito (Nqn) -> Neuquen                                    |       28 |      276 |   0.0000 |     1.0000 |          1 |       7 |      0 |    0.00%
Arroyito (Nqn) -> Picun Leufu                                |       28 |      276 |   0.0000 |     1.0000 |          1 |       7 |      0 |    0.00%
Azopardo -> Benavidez                                        |       24 |      280 |   0.0000 |     1.0000 |          1 |       6 |      0 |    0.00%
Azopardo -> La Plata                                         |       24 |      280 |   0.0000 |     1.0000 |          1 |       6 |      0 |    0.00%
Azul -> Olavarria                                            |       68 |      236 |   0.0000 |     1.0000 |          1 |      17 |      0 |    0.00%
