ID_Demanda,Origen,Destino,Cantidad de Enlaces,Velocidad [Gbps],Ruta
R1,Gobernador Gregores,Santa Rosa (LP),1,100,Gobernador Gregores - Tres lagos - El Calafate - Esperanza (StaCruz) - Rio Gallegos - Luis Piedrabuena - Puerto San Julian - Jaramillo - Caleta Olivia - Pico Truncado - Colonia Las Heras - Perito Moreno - Rio Mayo - Alto Rio Senguer - J. de San Martin - Tecka - Esquel - Epuyen - El Foyel - San Carlos de Bariloche - Dina Huapi - Piedra del Aguila - Picun Leufu - Arroyito (Nqn) - Neuquen - Sargento Vidal - Catriel - Santa Isabel - Victorica - Winifreda - Santa Rosa (LP)
R2,Cap Juan Page,La Paz,1,200,Cap Juan Page - Las Lomitas - Formosa - Resistencia - Corrientes - Bellavista - Goya - La Paz
R3,San Pedro Jujuy,Puerto Madryn,1,400,San Pedro Jujuy - San Salvador de Jujuy - Humahuaca - La Quiaca - San Antonio de los Cobres - Santa Maria - San Miguel de Tucuman - Santiago del Estero - Frias - Dean Funes - Jesus Maria - Cordoba - Arroyito - San Francisco - Rafaela - Santa Fe - Parana - Concordia - Concepcion del Uruguay - Zarate - Campana - Benavidez - CABA - La Plata - Abasto - Las Toninas - Pinamar - Mar Del Plata - Tres Arroyos - Bahia Blanca - Viedma - San Antonio Oeste - Sierra Grande - Puerto Madryn
R4,Pehuajo,Bolivar,1,400,Pehuajo - Bolivar
R5,Frias,V. Mercedes,1,100,Frias - Dean Funes - Jesus Maria - Cordoba - Corralito - Hernando - Chucul - V. Mercedes
R6,Presidencia Roque Saenz Peña,Posadas,1,100,Presidencia Roque Saenz Peña - Resistencia - Corrientes - Ituzaingo - Posadas
R7,Jaramillo,San Antonio de los Cobres,1,300,Jaramillo - Caleta Olivia - Comodoro Rivadavia - Rawson - Trelew - Puerto Madryn - Sierra Grande - San Antonio Oeste - General Conesa - Rio Colorado - Algarrobo - Bahia Blanca - Tres Arroyos - Mar Del Plata - Pinamar - Las Toninas - Abasto - La Plata - CABA - Benavidez - Campana - Zarate - Concepcion del Uruguay - Concordia - Paso de Los Libres - San Jose - Posadas - Ituzaingo - Corrientes - Resistencia - Presidencia Roque Saenz Peña - San Jose de Metan - Choromoro - San Miguel de Tucuman - Santa Maria - San Antonio de los Cobres
R8,Posadas,San Carlos de Bariloche,1,300,Posadas - Ituzaingo - Corrientes - Resistencia - Vera - Tostado - Ceres - Sunchales - Rafaela - San Francisco - Arroyito - Cordoba - Corralito - Hernando - Chucul - V. Mercedes - San Luis - Santa Rosa (Mza) - Mendoza - Tunuyan - San Rafael - Malargue - Buta Ranquil - Chos Malal - Zapala - Junin de los Andes - San Martin de los Andes - Villa La Angostura - Dina Huapi - San Carlos de Bariloche
R9,Winifreda,J. de San Martin,1,400,Winifreda - Victorica - Santa Isabel - Catriel - Sargento Vidal - Neuquen - Arroyito (Nqn) - Picun Leufu - Piedra del Aguila - Dina Huapi - San Carlos de Bariloche - El Foyel - Epuyen - Esquel - Tecka - J. de San Martin
R10,San Miguel de Tucuman,Rio Colorado,1,300,San Miguel de Tucuman - Santiago del Estero - Añatuya - Tostado - Ceres - Sunchales - Rafaela - Santa Fe - San Fabian - Rosario - Pergamino - Arrecifes - San Antonio De Areco - Benavidez - Marcos Paz - Abasto - Chascomus - Dolores - Las Armas - Mar Del Plata - Tres Arroyos - Bahia Blanca - Algarrobo - Rio Colorado
R11,El Calafate,Esperanza (StaCruz),1,200,El Calafate - Esperanza (StaCruz)
R12,Baradero,Catriel,1,200,Baradero - Zarate - Concepcion del Uruguay - Rosario - Cañada De Gomez - Leones - San Marcos - Villa Maria - Manfredi - Cordoba - Corralito - Hernando - Chucul - V. Mercedes - San Luis - Santa Rosa (Mza) - Mendoza - Tunuyan - San Rafael - Gral. Alvear - Santa Isabel - Catriel
R13,Cap Juan Page,Salta,1,200,Cap Juan Page - Embarcacion - Lib Gral San Martin - San Pedro Jujuy - San Salvador de Jujuy - Salta
R14,Bahia Blanca,La Plata,1,200,Bahia Blanca - Tres Arroyos - Mar Del Plata - Pinamar - Las Toninas - Abasto - La Plata
R15,Rio Gallegos,Las Toninas,1,200,Rio Gallegos - Luis Piedrabuena - Puerto San Julian - Jaramillo - Caleta Olivia - Comodoro Rivadavia - Rawson - Trelew - Puerto Madryn - Sierra Grande - San Antonio Oeste - General Conesa - Rio Colorado - Algarrobo - Bahia Blanca - Tres Arroyos - Mar Del Plata - Pinamar - Las Toninas
R16,Manfredi,Chilecito,1,100,Manfredi - Cordoba - La Falda - Serrezuela - Patquia - Chilecito
R17,San Nicolas de los Arroyos,Vera,1,100,San Nicolas de los Arroyos - Rosario - San Fabian - Santa Fe - Rafaela - Sunchales - Ceres - Tostado - Vera
