======================================================================
  REPORTE: ASIGNACIÓN DE DEMANDAS REFEFO CON MILP (PuLP-CBC)
======================================================================

Estado base: /home/maximo/opticas/TpOpticas/Pablo_punto5/ocupacion_base_milp.csv
Demandas:    /home/maximo/opticas/TpOpticas/Pablo_punto5/refefo/demandas_refefo.csv
Big-M:       310
TimeLimit:   120s | GapRel: 0.05

--- ESTADO BASE ---
  Enlaces:          446
  Slots ocupados:   7074 / 135584
  S_max:            136

--- MODELO MILP ---
  Variables totales:    3898
  Restricciones:        7594
  Vars base (z):        409
  Vars solapamiento (x): 3288
  Estado solver:        Not Solved
  Tiempo:               120.00s

--- RESULTADOS REFEFO ---
  Demandas REFEFO totales:        200
  Demandas asignadas con éxito:   0
  Demandas bloqueadas:            200
  Probabilidad de bloqueo:        100.00%

--- ESTADO FINAL DE LA RED ---
  Enlaces:          446
  Slots ocupados:   7074 / 135584
  Ocupación:        5.22%
  S_max:            136

  Δ Slots ocupados: +0
  Δ S_max:          136 → 136

--- DETALLE POR DEMANDA ---
 Iter | Source                    | Destination               |  Gbps | Resultado                           | K_Path |  Slot
-----------------------------------------------------------------------------------------------------------------------------
    1 | Gobernador Gregores       | Santa Rosa (LP)           |   100 | BLOQUEADA (infactible)              |      - |     -
    2 | Cap Juan Page             | La Paz                    |   200 | BLOQUEADA (infactible)              |      - |     -
    3 | San Pedro Jujuy           | Puerto Madryn             |   400 | BLOQUEADA (infactible)              |      - |     -
    4 | Pehuajo                   | Bolivar                   |   400 | BLOQUEADA (infactible)              |      - |     -
    5 | Frias                     | V. Mercedes               |   100 | BLOQUEADA (infactible)              |      - |     -
    6 | Presidencia Roque Saenz Peña | Posadas                   |   100 | BLOQUEADA (infactible)              |      - |     -
    7 | Jaramillo                 | San Antonio de los Cobres |   300 | BLOQUEADA (infactible)              |      - |     -
    8 | Posadas                   | San Carlos de Bariloche   |   300 | BLOQUEADA (infactible)              |      - |     -
    9 | Winifreda                 | J. de San Martin          |   400 | BLOQUEADA (infactible)              |      - |     -
   10 | San Miguel de Tucuman     | Rio Colorado              |   300 | BLOQUEADA (infactible)              |      - |     -
   11 | El Calafate               | Esperanza (StaCruz)       |   200 | BLOQUEADA (infactible)              |      - |     -
   12 | Baradero                  | Catriel                   |   200 | BLOQUEADA (infactible)              |      - |     -
   13 | Cap Juan Page             | Salta                     |   200 | BLOQUEADA (infactible)              |      - |     -
   14 | Bahia Blanca              | La Plata                  |   200 | BLOQUEADA (infactible)              |      - |     -
   15 | Rio Gallegos              | Las Toninas               |   200 | BLOQUEADA (infactible)              |      - |     -
   16 | Manfredi                  | Chilecito                 |   100 | BLOQUEADA (infactible)              |      - |     -
   17 | San Nicolas de los Arroyos | Vera                      |   100 | BLOQUEADA (infactible)              |      - |     -
   18 | La Quiaca                 | General Roca              |   300 | BLOQUEADA (infactible)              |      - |     -
   19 | Rio Mayo                  | Corralito                 |   200 | BLOQUEADA (infactible)              |      - |     -
   20 | Winifreda                 | Serrezuela                |   200 | BLOQUEADA (infactible)              |      - |     -
   21 | Bolivar                   | Rio Grande                |   200 | BLOQUEADA (infactible)              |      - |     -
   22 | Leones                    | San Pedro BsAs            |   100 | BLOQUEADA (infactible)              |      - |     -
   23 | Puerto Madryn             | Aristobulo del Valle      |   100 | BLOQUEADA (infactible)              |      - |     -
   24 | Hernando                  | Buta Ranquil              |   400 | BLOQUEADA (infactible)              |      - |     -
   25 | General Roca              | Goya                      |   200 | BLOQUEADA (infactible)              |      - |     -
   26 | Rio Mayo                  | Campana                   |   300 | BLOQUEADA (infactible)              |      - |     -
   27 | San Antonio Oeste         | San Jose de Metan         |   100 | BLOQUEADA (infactible)              |      - |     -
   28 | Zapala                    | Ceres                     |   100 | BLOQUEADA (infactible)              |      - |     -
   29 | Picun Leufu               | Rio Gallegos              |   200 | BLOQUEADA (infactible)              |      - |     -
   30 | Tostado                   | Mercedes                  |   100 | BLOQUEADA (infactible)              |      - |     -
   31 | Aristobulo del Valle      | Clorinda                  |   200 | BLOQUEADA (infactible)              |      - |     -
   32 | Humahuaca                 | Puerto Iguazu             |   400 | BLOQUEADA (infactible)              |      - |     -
   33 | Santa Maria               | Las Toninas               |   100 | BLOQUEADA (infactible)              |      - |     -
   34 | Usuahia                   | San Pedro Jujuy           |   200 | BLOQUEADA (infactible)              |      - |     -
   35 | Perito Moreno             | Mercedes                  |   200 | BLOQUEADA (infactible)              |      - |     -
   36 | La Rioja                  | San Luis                  |   400 | BLOQUEADA (infactible)              |      - |     -
   37 | San Antonio de los Cobres | Choele Choel              |   400 | BLOQUEADA (infactible)              |      - |     -
   38 | Dean Funes                | Corralito                 |   200 | BLOQUEADA (infactible)              |      - |     -
   39 | Winifreda                 | San Jose de Jachal        |   100 | BLOQUEADA (infactible)              |      - |     -
   40 | Epuyen                    | Chascomus                 |   200 | BLOQUEADA (infactible)              |      - |     -
   41 | Vera                      | El Calafate               |   200 | BLOQUEADA (infactible)              |      - |     -
   42 | Rio Gallegos              | Vera                      |   200 | BLOQUEADA (infactible)              |      - |     -
   43 | Cañuelas                  | Cordoba                   |   400 | BLOQUEADA (infactible)              |      - |     -
   44 | Esquel                    | Zarate                    |   100 | BLOQUEADA (infactible)              |      - |     -
   45 | San Jose de Metan         | Bahia Blanca              |   200 | BLOQUEADA (infactible)              |      - |     -
   46 | Santa Isabel              | Salta                     |   100 | BLOQUEADA (infactible)              |      - |     -
   47 | San Antonio De Areco      | Exaltacion de la Cruz     |   200 | BLOQUEADA (infactible)              |      - |     -
   48 | Santiago del Estero       | Goya                      |   100 | BLOQUEADA (infactible)              |      - |     -
   49 | Bajo Caracoles            | Jardin America            |   400 | BLOQUEADA (infactible)              |      - |     -
