================================================================================
  REPORTE COMPLETO: ASIGNACIÓN DE DEMANDAS REFEFO CON MÉTODO ALEATORIO Y MÉTODOS DE CALIDAD
================================================================================

Estado base: /home/maximo/opticas/TpOpticas/RSA/base/aleatorio/ocupacion_base_random_V3_metricas.csv
Demandas:    /home/maximo/opticas/TpOpticas/RSA/refefo/demandas_refefo.csv

--- ESTADO BASE ---
  Enlaces:          406
  Slots ocupados:   14648 / 123424
  Ocupación:        11.87%
  S_max:            304

--- RESULTADOS REFEFO ---
  Demandas REFEFO totales:        200
  Demandas asignadas con éxito:   177
  Demandas bloqueadas:            23
  Probabilidad de bloqueo:        11.50%

--- MÉTRIAS DE TIEMPO POR DEMANDA REFEFO INDIVIDUAL ---
  Tiempo mínimo:                  6.3627 ms
  Tiempo máximo:                  34.3484 ms
  Tiempo promedio:                13.4467 ms

--- ESTADO FINAL ACUMULADO DE LA RED ---
  Enlaces:          416
  Slots ocupados:   26530 / 126464
  Ocupación:        20.98%
  S_max:            304

  Δ Slots ocupados: +11882
  Δ S_max:          304 → 304
  Fragmentación Promedio:         0.748155
  Contigüidad Promedio:           0.154056
  Variación de Carga (Max-Min):   156 slots
  Transiciones Ocupado-Libre (min/max/prom): 0 / 27 / 13.0649
  Prob. Bloqueo Promedio Enlace:   10.2606%

--- MÉTRIAS DETALLADAS ENLACE POR ENLACE ---
Enlace (Origen -> Destino)                                   | Ocupados | Libres   | Frag (F) | Contig (C) | Trans O->L | Solics  | Bloqs  | P_block%
----------------------------------------------------------------------------------------------------------------------------------------------------
9 De Julio -> Bragado                                        |       64 |      240 |   0.6750 |     0.1705 |         12 |      16 |      1 |    6.25%
9 De Julio -> Pehuajo                                        |       42 |      262 |   0.5725 |     0.2671 |         10 |      11 |      1 |    9.09%
Abasto -> Cañuelas                                           |       40 |      264 |   0.6553 |     0.2174 |          8 |      10 |      1 |   10.00%
Abasto -> Chascomus                                          |       88 |      216 |   0.8380 |     0.0868 |         17 |      24 |      3 |   12.50%
Abasto -> La Plata                                           |       64 |      240 |   0.8000 |     0.1170 |         14 |      18 |      2 |   11.11%
Abasto -> Las Toninas                                        |       76 |      228 |   0.8509 |     0.0905 |         17 |      21 |      3 |   14.29%
Abasto -> Marcos Paz                                         |       66 |      238 |   0.8151 |     0.1301 |         13 |      14 |      1 |    7.14%
Aguada Cecilio -> Dina Huapi                                 |       54 |      250 |   0.8320 |     0.1117 |         12 |      13 |      1 |    7.69%
Aguada Cecilio -> San Antonio Oeste                          |       68 |      236 |   0.7246 |     0.1755 |         13 |      15 |      0 |    0.00%
Algarrobo -> Bahia Blanca                                    |       86 |      218 |   0.7523 |     0.1154 |         19 |      22 |      1 |    4.55%
Algarrobo -> Rio Colorado                                    |       62 |      242 |   0.7066 |     0.1651 |         12 |      19 |      4 |   21.05%
Alto Rio Senguer -> J. de San Martin                         |       88 |      216 |   0.8194 |     0.1024 |         18 |      23 |      3 |   13.04%
Alto Rio Senguer -> Rio Mayo                                 |       66 |      238 |   0.8109 |     0.1259 |         14 |      17 |      2 |   11.76%
Aristobulo del Valle -> Puerto Iguazu                        |       24 |      280 |   0.6929 |     0.2346 |          6 |       6 |      0 |    0.00%
Aristobulo del Valle -> San Jose                             |       28 |      276 |   0.7210 |     0.1900 |          7 |       7 |      0 |    0.00%
Arrecifes -> Exaltacion de la Cruz                           |       62 |      242 |   0.6529 |     0.1983 |          8 |      12 |      1 |    8.33%
Arrecifes -> Pergamino                                       |      136 |      168 |   0.7917 |     0.0923 |         24 |      29 |      1 |    3.45%
Arrecifes -> San Antonio De Areco                            |       64 |      240 |   0.8167 |     0.1269 |         12 |      16 |      1 |    6.25%
Arroyito -> Cordoba                                          |       56 |      248 |   0.6492 |     0.1955 |         11 |      15 |      3 |   20.00%
Arroyito -> San Francisco                                    |       78 |      226 |   0.7699 |     0.1099 |         17 |      25 |      7 |   28.00%
Arroyito (Nqn) -> Neuquen                                    |       52 |      252 |   0.7857 |     0.1338 |         12 |      14 |      3 |   21.43%
